Load Shedding Stage,Date,Time,Load Block
0,20250320,500,3
2,20250319,1825,1
0,20250309,1000,2
0,20250226,500,2
4,20250224,30,1
6,20250223,130,10
4,20250223,38,6
3,20250222,1730,10
0,20250202,600,14
3,20250131,1700,15
0,20240326,500,4
2,20240325,1600,11
0,20240324,2347,10
2,20240324,1600,7
1,20240324,500,7
3,20240323,2000,17
2,20240323,500,10
3,20240322,2000,9
2,20240322,1600,14
0,20240322,500,5
3,20240321,2000,12
2,20240318,500,1
1,20240317,1600,4
0,20240317,500,4
1,20240316,1600,13
0,20240316,500,4
3,20240315,1600,2
2,20240315,500,17
3,20240314,1600,8
2,20240314,500,14
3,20240313,1600,6
2,20240313,500,14
3,20240312,1600,7
0,20240312,500,8
2,20240311,1600,10
0,20240311,500,13
1,20240310,1600,3
0,20240310,500,14
2,20240309,1600,9
0,20240309,500,8
4,20240308,2000,17
2,20240308,500,11
4,20240307,2000,10
2,20240307,500,4
4,20240306,2000,12
2,20240306,1600,17
0,20240306,500,1
2,20240305,1600,15
0,20240305,500,12
2,20240304,1600,13
0,20240303,500,8
2,20240302,1600,17
0,20240302,500,2
3,20240226,1600,6
2,20240226,427,14
0,20240226,8,9
2,20240225,500,6
4,20240222,400,16
2,20240221,1600,14
0,20240221,500,12
2,20240220,1600,4
0,20240220,500,8
2,20240219,1600,13
0,20240219,500,14
2,20240218,1600,4
0,20240218,500,10
2,20240217,1600,17
0,20240217,500,5
2,20240216,1000,2
3,20240214,500,17
4,20240213,1600,3
3,20240213,500,6
5,20240211,1200,12
4,20240209,200,7
3,20240208,2200,11
2,20240207,1400,14
2,20240207,500,10
3,20240206,1600,7
2,20240206,500,14
3,20240205,1600,17
2,20240204,1700,6
3,20240204,200,1
2,20240203,500,4
3,20240131,1600,9
2,20240131,500,5
3,20240130,1600,2
2,20240130,500,16
3,20240129,1600,17
2,20240127,500,2
1,20240126,1600,9
0,20240126,1000,15
1,20240126,500,14
2,20240125,1600,2
0,20240125,1000,14
1,20240125,500,9
0,20240124,1100,7
1,20240124,500,1
2,20240123,1600,9
1,20240123,1100,1
2,20240123,500,10
0,20240123,0,8
2,20240122,500,13
0,20240121,2200,10
1,20240121,1800,3
0,20240120,2323,17
1,20240120,1220,14
2,20240120,800,6
0,20240120,0,9
2,20240119,500,9
3,20240118,1600,3
2,20240118,500,4
2,20240115,1200,12
3,20240115,500,8
0,20240114,2135,8
2,20240114,1600,15
3,20240112,1600,12
1,20240112,500,13
2,20240111,1600,3
1,20240111,500,5
2,20240110,1600,12
1,20240110,500,11
2,20240109,1600,14
0,20240106,1000,17
1,20240106,500,15
3,20240105,1600,1
2,20240105,500,17
3,20240104,1600,15
2,20240104,500,3
3,20240103,1600,3
2,20240103,500,10
3,20240102,1600,7
2,20240102,500,15
0,20231214,500,1
2,20231213,1600,13
2,20231212,1600,15
0,20231212,1200,2
2,20231212,700,14
3,20231211,500,14
0,20231209,2100,2
2,20231209,1700,4
0,20231209,1200,6
2,20231209,500,15
3,20231208,500,10
4,20231207,1600,7
3,20231207,500,6
4,20231206,1600,4
3,20231205,1600,11
2,20231205,900,10
3,20231205,500,5
4,20231204,1600,13
4,20231202,2000,4
3,20231201,1600,12
2,20231201,1000,3
3,20231201,500,16
4,20231130,1600,17
3,20231130,1000,5
5,20231130,500,5
6,20231129,2000,3
5,20231129,500,8
6,20231128,2000,3
4,20231127,1400,12
3,20231127,500,9
4,20231126,1200,5
4,20231122,231,14
3,20231121,1600,4
2,20231121,900,4
3,20231120,1600,14
2,20231120,500,4
3,20231119,900,6
1,20231119,500,3
2,20231118,500,7
3,20231116,1600,9
2,20231116,500,2
3,20231115,1600,15
2,20231115,500,15
3,20231114,1600,11
1,20231114,500,8
3,20231113,1600,2
2,20231113,500,1
1,20231112,1600,7
0,20231111,500,11
2,20231110,1600,5
0,20231110,500,6
2,20231109,1600,11
2,20231108,1600,14
0,20231108,500,9
2,20231107,1600,10
0,20231107,500,14
2,20231106,1600,2
0,20231106,500,4
2,20231105,1600,14
1,20231105,500,3
2,20231104,1600,4
1,20231104,500,10
3,20231103,1600,3
2,20231103,500,9
3,20231102,1600,5
2,20231102,500,1
3,20231101,1600,7
2,20231101,500,4
3,20231031,1600,16
2,20231031,500,14
3,20231030,1600,11
2,20231029,1600,8
0,20231019,2200,12
2,20231019,1600,14
0,20231019,500,3
1,20231018,2200,10
2,20231018,1600,13
0,20231018,500,7
2,20231017,1600,17
0,20231017,500,12
2,20231016,1600,17
0,20231014,500,5
2,20231013,1600,15
0,20231013,500,11
2,20231012,1600,8
0,20231012,500,16
2,20231011,1600,11
0,20231011,500,8
2,20231010,1600,1
0,20231010,200,5
0,20231008,500,10
1,20231007,500,11
2,20231005,1600,7
0,20231005,500,14
2,20231004,1600,15
0,20231004,500,2
2,20231003,1600,14
0,20231003,500,4
2,20231002,1600,8
3,20230929,1600,7
2,20230929,500,10
3,20230928,1600,17
2,20230928,500,3
3,20230927,1600,6
2,20230927,500,6
3,20230926,1600,15
2,20230926,500,4
3,20230924,2000,4
0,20230923,500,2
2,20230922,1600,17
0,20230922,1000,11
1,20230922,500,5
3,20230921,1600,10
0,20230921,230,16
3,20230920,1600,12
0,20230920,0,17
3,20230919,1600,10
0,20230919,900,12
1,20230919,500,3
0,20230919,0,2
